group,name,position
1.1,Fernando Mendoza,QB
1.1,Arvell Reese,LB
1.1,David Bailey,EDGE
1.1,Jeremiyah Love,RB
1.1,Francis Mauigoa,OT
1.1,Sonny Styles,LB
1.1,Rueben Bain,EDGE
1.1,Carnell Tate,WR
1.1,Caleb Downs,S
1.1,Mansoor Delane,CB
1.1,Spencer Fano,OT
1.1,Monroe Freeling,OT
1.2,Makai Lemon,WR
1.2,Jermod McCoy,CB
1.2,Jordyn Tyson,WR
1.2,Olaivavega Ioane,IOL
1.2,Kenyon Sadiq,TE
1.2,Dillon Thieneman,S
1.2,Akheem Mesidor,EDGE
1.2,Keldric Faulk,EDGE
1.2,Kadyn Proctor,OT
1.2,Omar Cooper Jr.,WR
1.2,Emmanuel McNeil-Warren,S
1.2,Avieon Terrell,CB
1.3,Caleb Lomu,OT
1.3,Blake Miller,OT
1.3,T.J. Parker,EDGE
1.3,Peter Woods,DL
1.3,Kevin Concepcion,WR
1.3,Denzel Boston,WR
1.3,Ty Simpson,QB
1.3,Kayden McDonald,DL
1.3,C.J. Allen,LB
1.3,Cashius Howell,EDGE
1.3,Colton Hood,CB
1.3,Max Iheanachor,OT
2.1,Zion Young,EDGE
2.1,Caleb Banks,DL
2.1,Brandon Cisse,CB
2.1,Emmanuel Pregnon,IOL
2.1,Chris Johnson,CB
2.1,Malachi Lawrence,EDGE
2.1,Chase Bisontis,IOL
2.1,Jadarian Price,RB
2.1,Jacob Rodriguez,LB
2.1,R Mason Thomas,EDGE
2.1,Christen Miller,DL
2.1,Lee Hunter,DL
2.2,Anthony Hill Jr.,LB
2.2,Gabe Jacas,EDGE
2.2,Eli Stowers,TE
2.2,Jake Golday,LB
2.2,Chris Bell,WR
2.2,D'angelo Ponds,CB
2.2,Chris Brazzell,WR
2.2,Germie Bernard,WR
2.2,A.J. Haulcy,S
2.2,Keylan Rutledge,IOL
2.2,Gennings Dunker,OT
2.2,Keionte Scott,CB
2.3,Derrick Moore,EDGE
2.3,Josiah Trotter,LB
2.3,Caleb Tiernan,OT
2.3,Zachariah Branch,WR
2.3,Treydan Stukes,CB
2.3,Domonique Orange,DL
2.3,Keith Abney II,CB
2.3,Dani Dennis-Sutton,EDGE
2.3,Mike Washington Jr.,RB
2.3,Malachi Fields,WR
2.3,Antonio Williams,WR
2.3,Kyle Louis,LB
3.1,Max Klare,TE
3.1,Gracen Halton,DL
3.1,Romello Height,EDGE
3.1,Connor Lew,IOL
3.1,Elijah Sarratt,WR
3.1,Davison Igbinosun,CB
3.1,Ted Hurst,WR
3.1,Garrett Nussmeier,QB
3.1,Darrell Jackson Jr.,DL
3.1,Joshua Josephs,EDGE
3.1,Sam Hecht,IOL
3.1,Bud Clark,S
3.2,Skyler Bell,WR
3.2, Kamari Ramsey,S
3.2,Jaishawn Barham,LB
3.2,Zakee Wheatley,S
3.2,Oscar Delp,TE
3.2,Julian Neal,CB
3.2,Bryce Lance,WR
3.2,Keyron Crawford,EDGE
3.2,Malik Muhammad,CB
3.2,Jalon Kilgore,S
3.2,Logan Jones,IOL
3.2,Dametrious Crownover,OT
3.3,Chandler Rivers,CB
3.3,Jonah Coleman,RB
3.3,Jalen Farmer,IOL
3.3,Genesis Smith,S
3.3,Deion Burks,WR
3.3,Devin Moore,CB
3.3,L.T. Overton,EDGE
3.3,Jake Slaughter,IOL
3.3,Kaleb Proctor,DL
3.3,Emmett Johnson,RB
3.3,Ja'Kobi Lane,WR
3.3,Daylen Everette,CB
4.1,Sam Roush,TE
4.1,Deontae Lawson,LB
4.1,Chris McClellan,DL
4.1,Cole Payton,QB
4.1,Brenen Thompson,WR
4.1,Brian Parker II,OT
4.1,Will Lee III,CB
4.1,Drew Allar,QB
4.1,Justin Joly,TE
4.1,Dontay Corleone,DL
4.1,Austin Barber,OT
4.1,Jude Bowry,OT
4.2,Markel Bell,OT
4.2,Carson Beck,QB
4.2,Michael Trigg,TE
4.2,De'Zhaun Stribling,WR
4.2,Zxavian Harris,DL
4.2,Keyshaun Elliott,LB
4.2,Kage Casey,OT
4.2,Kaleb Elarms-Orr,LB
4.2,Trey Zuhn III,OT
4.2,Tacario Davis,CB
4.2,VJ Payne,S
4.2,Zane Durant,DL
4.3,Harold Perkins,LB
4.3,DeMonte Capehart,DL
4.3,Rayshaun Benny,DL
4.3,Anthony Lucas,EDGE
4.3,Billy Schrauth,IOL
4.3,Nick Singleton,RB
4.3,Ephesians Prysock,CB
4.3,Hezekiah Masses,CB
4.3,Bryce Boettcher,LB
4.3,Eli Raridon,TE
4.3,Tim Keenan III,DL
4.3,Isaiah World,OT
5.1,Kaytron Allen,RB
5.1,Taurean York,LB
5.1,Joe Royer,TE
5.1,Taylen Green,QB
5.1,Charles Demmings,CB
5.1,Tyler Onyedim,DL
5.1,Max Llewellyn,EDGE
5.1,Jeff Caldwell,WR
5.1,Matt Gulbin,IOL
5.1,TJ Hall,CB
5.1,Jadon Canady,CB
5.1,Travis Burke,OT
5.2,Josh Cameron,WR
5.2,Keagen Trost,IOL
5.2,Jager Burton,IOL
5.2,Adam Randall,RB
5.2,Caden Curry,EDGE
5.2,Diego Pounds,OT
5.2,Demond Claiborne,RB
5.2,Beau Stephens,IOL
5.2,Drew Shelton,OT
5.2,Aiden Fisher,LB
5.2,Parker Brailsford,IOL
5.2,Kevin Coleman Jr.,WR
5.3,Jimmy Rolder,LB
5.3,Jack Endries,TE
5.3,Nick Barrett,DL
5.3,Michael Taaffe,S
5.3,Marlin Klein,TE
5.3,Nadame Tucker,EDGE
5.3,Nate Boerkircher,TE
5.3,Jack Kelly,LB
5.3,Landon Robinson,DL
5.3,Jeremiah Wright,IOL
5.3,Jaydn Ott,RB
5.3,J.C. Davis,OT
6.1,Jakobe Thomas,S
6.1,Kaelon Black,RB
6.1,Dallen Bentley,TE
6.1,Febechi Nwaiwu,IOL
6.1,George Gumbs Jr.,EDGE
6.1,Will Kacmarek,TE
6.1,Jalen Huskey,CB
6.1,Seth McGowan,RB
6.1,Kendrick Law,WR
6.1,Reggie Virgil,WR
6.1,Trey Moore,EDGE
6.1,Mikail Kamara,EDGE
6.2,Cade Klubnik,QB
6.2,Albert Regis,DL
6.2,Red Murdock,LB
6.2,Roman Hemby,RB
6.2,Pat Coogan,IOL
6.2,Justin Jefferson,LB
6.2,Anez Cooper,IOL
6.2,Thaddeus Dixon,CB
